COD_DEF,area_pa,LEYENDA,Cid_Cob2,TIPO,area_ha,HUMEDALES,Cod_Hum,Ambiente,SubambGeom,observacio,AGRUP,concate,OBSERV,TIPO_Code
321120,17.91,3.2.1.1.2. Herbazal denso inundable,5.0,Humedales en depresiones pequeñas abastecidas por la lluvia y/o Sabanas inundables o encharcables y/o Zurales y/o  Esteros,4832422.543481293,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Humedales en depresiones pequeñas abastecidas por la lluvia y/o Sabanas inundables o encharcables y/o Zurales y/o  Esteros*Humedales Sistema Interior,,27
311110,14.07,3.1.1.1.1. Bosque denso alto de tierra firme,5.0,Bosques inundables,3796692.7437725966,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Bosques inundables*Humedales Sistema Interior,,2
311121,11.58,3.1.1.1.2.1. Bosque denso alto Inundable heterogeneo,14.0,Palmares de Moriche y/o Bosques Mixtos,3122634.10753796,Humedal Temporal,3.0,Piedemonte y llanuras aluviales,llanura aluvial en Altillanura,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Palmares de Moriche y/o Bosques Mixtos*Humedales Sistema Interior,,15
314000,8.26,3.1.4. Bosque de galeria y ripario,6.0,Arroyos y quebradas,2226891.621942085,Potencial Medio,4.0,Mar y costas,Planicie fluvial,,Humedales Sistema Costero,Mar y costas*Arroyos y quebradas*Humedales Sistema Costero,,41
231000,8.04,2.3.1. Pastos limpios,3.0,Humedales transformados,2169840.415526417,Potencial Medio,4.0,Mar y costas,Planicie fluvial,,Humedales Transformados y Artificiales,Mar y costas*Humedales transformados*Humedales Transformados y Artificiales,,1
311120,4.15,3.1.1.1.2. Bosque denso alto inundable,10.0,Bosques inundables,1118784.2451950468,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Bosques inundables*Humedales Sistema Interior,,2
511000,3.86,5.1.1. Rios (50 m),24.0,Ríos,1042391.2764037956,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Ríos*Humedales Sistema Interior,,4
411000,3.41,4.1.1. Zonas Pantanosas,18.0,Zonas pantanosas,919478.5048192116,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,interfluvio en Altillanura,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Zonas pantanosas*Humedales Sistema Interior,,17
321110,2.95,3.2.1.1.1. Herbazal denso de tierra firme,5.0,Herbazales inundables,796171.0990258121,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,llanura aluvial en Altillanura,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Herbazales inundables*Humedales Sistema Interior,,8
323000,2.42,3.2.3. Vegetacion secundaria o en transicion,5.0,Humedales en proceso de transformación,653368.2185586508,Potencial Medio,4.0,Mar y costas,Planicie fluvial,,Humedales Transformados y Artificiales,Mar y costas*Humedales en proceso de transformación*Humedales Transformados y Artificiales,,3
244000,2.33,2.4.4. Mosaico de pastos con espacios naturales,4.0,Humedales transformados,627567.4077957893,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales transformados*Humedales Transformados y Artificiales,,1
512000,2.32,"5.1.2. Lagunas, lagos y cienagas naturales",25.0,Lagunas,626675.9044390584,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Lagunas*Humedales Sistema Interior,,7
311220,2.02,3.1.1.2.2. Bosque denso bajo inundable,11.0,Bosques de rebalse,545118.8599897847,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Bosques de rebalse*Humedales Sistema Interior,,10
243000,1.89,"2.4.3. Mosaico de cultivos, pastos y espacios naturales",4.0,Humedales transformados,509067.44846973976,Humedal Temporal,3.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Humedales transformados*Humedales Transformados y Artificiales,,1
242000,1.72,2.4.2. Mosaico de pastos y cultivos,4.0,Humedales transformados,463507.0897697994,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,interfluvio en Altillanura,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales transformados*Humedales Transformados y Artificiales,,1
233000,1.31,2.3.3. Pastos enmalezados,3.0,Humedales transformados,353109.563333341,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales transformados*Humedales Transformados y Artificiales,,1
321111,1.03,3.2.1.1.1.1.  Herbazal denso de tierra firme no arbolado,5.0,Herbazales inundables,276904.80981382984,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,interfluvio en Altillanura,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Herbazales inundables*Humedales Sistema Interior,,8
321121,0.78,3.2.1.1.2.1. Herbazal denso inundable no arbolado,16.0,Helechales y/o Eneales,209327.33729188572,Potencial Medio,4.0,Mar y costas,Planicie deltaica actual,,Humedales Sistema Costero,Mar y costas*Helechales y/o Eneales*Humedales Sistema Costero,,42
321210,0.66,3.2.1.2.1. Herbazal abierto arenoso,5.0,Humedales transformados,178259.01019803775,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,llanura aluvial en Altillanura,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales transformados*Humedales Transformados y Artificiales,,1
313200,0.66,3.1.3.2. Bosque fragmentado con vegetacion secundaria,9.0,Humedales en proceso de transformación,176926.4208736574,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales en proceso de transformación*Humedales Transformados y Artificiales,,3
322100,0.65,3.2.2.1. Arbustal denso,5.0,Arbustales inundables,175592.41918394458,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Arbustales inundables*Humedales Sistema Interior,,5
313100,0.6,3.1.3.1. Bosque fragmentado con pastos y cultivos,8.0,Humedales en proceso de transformación,162939.72362674068,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales en proceso de transformación*Humedales Transformados y Artificiales,,3
334000,0.6,3.3.4. Zonas quemadas,5.0,Humedales transformados,161325.38520994256,Humedal Temporal,3.0,Montaña,Montaña disectada,,Humedales Transformados y Artificiales,Montaña*Humedales transformados*Humedales Transformados y Artificiales,,1
311210,0.56,3.1.1.2.1. Bosque denso bajo de tierra firme,5.0,Bosques inundables,150906.14934644633,Humedal Temporal,3.0,Montaña,Valle intramontano,,Humedales Sistema Interior,Montaña*Bosques inundables*Humedales Sistema Interior,,2
232000,0.55,2.3.2. Pastos arbolados,3.0,Humedales transformados,148566.45212760364,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,interfluvio en Altillanura,,Humedales Transformados y Artificiales,Piedemonte y llanuras aluviales*Humedales transformados*Humedales Transformados y Artificiales,,1
0,0.42,,0.0,Sin información,114443.19676955476,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,"Sin información en el atributo Subambiente, se asigno por vecindad",Humedales Sistema Interior,Piedemonte y llanuras aluviales*Sin información*Humedales Sistema Interior,"No tenia información en el atributo Ambiente, se asigno por localización",0
212100,0.41,2.1.2.1. Arroz,2.0,Cultivos de arroz (arrozales),109719.16833552317,Humedal Temporal,3.0,Tierras bajas,Valles de grandes ríos,,Humedales Transformados y Artificiales,Tierras bajas*Cultivos de arroz (arrozales)*Humedales Transformados y Artificiales,,26
312220,0.38,3.1.2.2.2. Bosque abierto bajo inundable,13.0,Bosques de rebalse,101871.4207354088,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Bosques de rebalse*Humedales Sistema Interior,,10
521000,0.37,5.2.1. Lagunas costeras,28.0,Lagunas costeras,99149.30927350254,Humedal Permanente Bajo Dosel,2.0,Mar y costas,Planicie deltaica actual,,Humedales Sistema Costero,Mar y costas*Lagunas costeras*Humedales Sistema Costero,,60
413000,0.36,4.1.3. Vegetacion acuatica sobre cuerpos de agua,20.0,Pozos de médanos,96975.10056920518,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,Llanura aluvial fluvial y pluv,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Pozos de médanos*Humedales Sistema Interior,,20
322200,0.36,3.2.2.2. Arbustal abierto,5.0,Arbustales inundables,96773.2644988132,Humedal Permanente Bajo Dosel,2.0,Piedemonte y llanuras aluviales,interfluvio en Altillanura,,Humedales Sistema Interior,Piedemonte y llanuras aluviales*Arbustales inundables*Humedales Sistema Interior,,5
